id,nome,diametro_min_m,diametro_max_m,velocidade_km_s,distancia_km,ameaca
3753715,(2016 LE2),176.4229081128,394.4936153285,14.0324076174,69328618.51521955,False
3754319,(2016 MA),8.4053340207,18.7948982439,8.8697002762,999578.455111391,False
3754317,(2016 LV51),23.150212221,51.7654482198,10.886429317,6611772.737011557,False
3764721,(2016 WS3),114.4339730687,255.882142717,11.2205124032,24552937.17173091,False
3842898,(2019 LK6),41.5484643414,92.9051906281,21.9124078818,63338955.55170288,False
3842916,(2019 MK),129.5850726695,289.7610313582,25.4078537266,24480340.137859862,False
2468452,468452 (2003 SD170),385.9712679548,863.0579925088,9.5755542523,49482969.31463927,False
2467336,467336 (2002 LT38),200.7035141135,448.7867008808,6.6615670852,10423925.113015532,True
3548525,(2010 TB54),11.6025908209,25.9441817907,8.4048182185,70477976.73638107,False
3608092,(2012 QG42),175.6123184804,392.6810818086,9.2353418008,60101733.491022974,True
3625068,(2013 BO27),40.0456158192,89.5447191727,13.0768023247,17115739.771496553,False
3703074,(2014 YT15),9.6506146958,21.5794304844,12.2339110232,40835933.353812784,False
3753023,(2016 JH17),229.3796979965,512.9085973785,12.5073567546,61341702.96252605,False
3753712,(2016 LG2),131.9942390415,295.1480911351,22.2086893241,14135399.453930551,False
3754283,(2016 LK49),16.7708462163,37.5007521798,19.9718619767,1237277.966465188,False
3755206,(2016 NY22),38.4197891064,85.9092601232,6.2339417096,28011004.209982343,False
3842940,(2019 MH1),30.3777061387,67.9266159267,15.8833325591,10687590.8203382,False
3986764,(2020 BM1),20.1629919443,45.0858206172,13.006280021,53666435.27261711,False
2138359,138359 (2000 GX127),676.9474811371,1513.7005850198,11.2947816736,72050549.8599766,False
2456537,456537 (2007 BG),315.1773332628,704.7579421428,16.0233069055,73569902.00046156,False
3553583,(2010 XL56),133.2155666981,297.8790627982,21.1341158185,72703050.45572178,False
3645185,(2013 OT3),50.6471458835,113.2504610618,3.285457036,74022391.7848748,False
3719245,(2015 KF),25.3837029364,56.7596852866,4.5735162719,19914856.36167691,False
3840847,(2019 GO3),77.3668609982,172.9975603978,14.5253339042,43844827.85065951,False
2382758,382758 (2003 GY),242.4124811008,542.0507863358,6.4819303474,11859991.751013694,True
2471487,471487 (2011 VS5),298.2325051535,666.8681546232,16.543504641,32306323.0891392,False
3378801,(2007 MK6),244.655496172,547.0663205095,30.2496055243,15236038.42100513,False
3675191,(2014 MY67),44.7254765433,100.0092058768,10.9058346104,11254968.343120215,False
3735682,(2015 XZ1),26.58,59.4346868419,10.096709442,49359727.34305949,False
3742061,(2016 CK31),10.1054341542,22.5964377109,3.734592407,45751280.3371437,False
3754270,(2016 LZ48),46.1907460282,103.2856480504,28.3701107762,8767369.959250482,False
3754280,(2016 LG49),88.0146520901,196.8067450894,17.3755231675,5809655.766009861,False
3781304,(2017 QB35),3.6690613753,8.2042706488,16.157976222,68537797.11090964,False
3789747,(2017 WD28),19.2555078188,43.0566244241,12.2836451776,53186395.72398211,False
2513171,513171 (2004 MD6),213.0860292484,476.474846455,27.0488376379,32007356.922030505,True
3397572,(2007 XY9),167.7084621628,375.0075217981,26.0618473425,54123254.25483049,True
3663258,(2014 EL),10.5816885933,23.6613750114,16.9624822229,36173085.82351158,False
3678630,(2014 OL339),73.884778657,165.2113875797,9.4376357142,41484844.43842603,False
3743607,(2016 CV193),81.3869880675,181.9868378029,7.0383484382,19645974.610461164,False
3753717,(2016 LA2),121.4940407996,271.6689340891,8.6048610538,53508759.461712204,False
3753919,(2016 LV47),263.3631309525,588.897863577,35.6725093749,23415007.85384271,True
